split-a 1152 576 
a11 0 64 split-a 
a12 0 64 split-a 
a13 0 64 split-a 
a21 0 64 split-a 
a22 0 64 split-a 
a23 0 64 split-a 
a31 0 64 split-a 
a32 0 64 split-a 
a33 0 64 split-a 
split-b 1152 576 
b11 0 64 split-b 
b12 0 64 split-b 
b13 0 64 split-b 
b21 0 64 split-b 
b22 0 64 split-b 
b23 0 64 split-b 
b31 0 64 split-b 
b32 0 64 split-b 
b33 0 64 split-b 
a11*b11 512 64 a11 b11 
a12*b21 512 64 a12 b21 
a13*b31 512 64 a13 b31 
C11 256 64 a11*b11 a12*b21 a13*b31 
a11*b12 512 64 a11 b12 
a12*b22 512 64 a12 b22 
a13*b32 512 64 a13 b32 
C12 256 64 a11*b12 a12*b22 a13*b32 
a11*b13 512 64 a11 b13 
a12*b23 512 64 a12 b23 
a13*b33 512 64 a13 b33 
C13 256 64 a11*b13 a12*b23 a13*b33 
a21*b11 512 64 a21 b11 
a22*b21 512 64 a22 b21 
a23*b31 512 64 a23 b31 
C21 256 64 a21*b11 a22*b21 a23*b31 
a21*b12 512 64 a21 b12 
a22*b22 512 64 a22 b22 
a23*b32 512 64 a23 b32 
C22 256 64 a21*b12 a22*b22 a23*b32 
a21*b13 512 64 a21 b13 
a22*b23 512 64 a22 b23 
a23*b33 512 64 a23 b33 
C23 256 64 a21*b13 a22*b23 a23*b33 
a31*b11 512 64 a31 b11 
a32*b21 512 64 a32 b21 
a33*b31 512 64 a33 b31 
C31 256 64 a31*b11 a32*b21 a33*b31 
a31*b12 512 64 a31 b12 
a32*b22 512 64 a32 b22 
a33*b32 512 64 a33 b32 
C32 256 64 a31*b12 a32*b22 a33*b32 
a31*b13 512 64 a31 b13 
a32*b23 512 64 a32 b23 
a33*b33 512 64 a33 b33 
C33 256 64 a31*b13 a32*b23 a33*b33 
Fusion 1152 576 C11 C12 C13 C21 C22 C23 C31 C32 C33 
