split-a 12800 6400 
a11 0 100 split-a 
a12 0 100 split-a 
a13 0 100 split-a 
a14 0 100 split-a 
a15 0 100 split-a 
a16 0 100 split-a 
a17 0 100 split-a 
a18 0 100 split-a 
a21 0 100 split-a 
a22 0 100 split-a 
a23 0 100 split-a 
a24 0 100 split-a 
a25 0 100 split-a 
a26 0 100 split-a 
a27 0 100 split-a 
a28 0 100 split-a 
a31 0 100 split-a 
a32 0 100 split-a 
a33 0 100 split-a 
a34 0 100 split-a 
a35 0 100 split-a 
a36 0 100 split-a 
a37 0 100 split-a 
a38 0 100 split-a 
a41 0 100 split-a 
a42 0 100 split-a 
a43 0 100 split-a 
a44 0 100 split-a 
a45 0 100 split-a 
a46 0 100 split-a 
a47 0 100 split-a 
a48 0 100 split-a 
a51 0 100 split-a 
a52 0 100 split-a 
a53 0 100 split-a 
a54 0 100 split-a 
a55 0 100 split-a 
a56 0 100 split-a 
a57 0 100 split-a 
a58 0 100 split-a 
a61 0 100 split-a 
a62 0 100 split-a 
a63 0 100 split-a 
a64 0 100 split-a 
a65 0 100 split-a 
a66 0 100 split-a 
a67 0 100 split-a 
a68 0 100 split-a 
a71 0 100 split-a 
a72 0 100 split-a 
a73 0 100 split-a 
a74 0 100 split-a 
a75 0 100 split-a 
a76 0 100 split-a 
a77 0 100 split-a 
a78 0 100 split-a 
a81 0 100 split-a 
a82 0 100 split-a 
a83 0 100 split-a 
a84 0 100 split-a 
a85 0 100 split-a 
a86 0 100 split-a 
a87 0 100 split-a 
a88 0 100 split-a 
split-b 12800 6400 
b11 0 100 split-b 
b12 0 100 split-b 
b13 0 100 split-b 
b14 0 100 split-b 
b15 0 100 split-b 
b16 0 100 split-b 
b17 0 100 split-b 
b18 0 100 split-b 
b21 0 100 split-b 
b22 0 100 split-b 
b23 0 100 split-b 
b24 0 100 split-b 
b25 0 100 split-b 
b26 0 100 split-b 
b27 0 100 split-b 
b28 0 100 split-b 
b31 0 100 split-b 
b32 0 100 split-b 
b33 0 100 split-b 
b34 0 100 split-b 
b35 0 100 split-b 
b36 0 100 split-b 
b37 0 100 split-b 
b38 0 100 split-b 
b41 0 100 split-b 
b42 0 100 split-b 
b43 0 100 split-b 
b44 0 100 split-b 
b45 0 100 split-b 
b46 0 100 split-b 
b47 0 100 split-b 
b48 0 100 split-b 
b51 0 100 split-b 
b52 0 100 split-b 
b53 0 100 split-b 
b54 0 100 split-b 
b55 0 100 split-b 
b56 0 100 split-b 
b57 0 100 split-b 
b58 0 100 split-b 
b61 0 100 split-b 
b62 0 100 split-b 
b63 0 100 split-b 
b64 0 100 split-b 
b65 0 100 split-b 
b66 0 100 split-b 
b67 0 100 split-b 
b68 0 100 split-b 
b71 0 100 split-b 
b72 0 100 split-b 
b73 0 100 split-b 
b74 0 100 split-b 
b75 0 100 split-b 
b76 0 100 split-b 
b77 0 100 split-b 
b78 0 100 split-b 
b81 0 100 split-b 
b82 0 100 split-b 
b83 0 100 split-b 
b84 0 100 split-b 
b85 0 100 split-b 
b86 0 100 split-b 
b87 0 100 split-b 
b88 0 100 split-b 
a11*b11 1000 100 a11 b11 
a12*b21 1000 100 a12 b21 
a13*b31 1000 100 a13 b31 
a14*b41 1000 100 a14 b41 
a15*b51 1000 100 a15 b51 
a16*b61 1000 100 a16 b61 
a17*b71 1000 100 a17 b71 
a18*b81 1000 100 a18 b81 
C11 400 100 a11*b11 a12*b21 a13*b31 a14*b41 a15*b51 a16*b61 a17*b71 a18*b81
a11*b12 1000 100 a11 b12 
a12*b22 1000 100 a12 b22 
a13*b32 1000 100 a13 b32 
a14*b42 1000 100 a14 b42 
a15*b52 1000 100 a15 b52 
a16*b62 1000 100 a16 b62 
a17*b72 1000 100 a17 b72 
a18*b82 1000 100 a18 b82 
C12 400 100 a11*b12 a12*b22 a13*b32 a14*b42 a15*b52 a16*b62 a17*b72 a18*b82
a11*b13 1000 100 a11 b13 
a12*b23 1000 100 a12 b23 
a13*b33 1000 100 a13 b33 
a14*b43 1000 100 a14 b43 
a15*b53 1000 100 a15 b53 
a16*b63 1000 100 a16 b63 
a17*b73 1000 100 a17 b73 
a18*b83 1000 100 a18 b83 
C13 400 100 a11*b13 a12*b23 a13*b33 a14*b43 a15*b53 a16*b63 a17*b73 a18*b83
a11*b14 1000 100 a11 b14 
a12*b24 1000 100 a12 b24 
a13*b34 1000 100 a13 b34 
a14*b44 1000 100 a14 b44 
a15*b54 1000 100 a15 b54 
a16*b64 1000 100 a16 b64 
a17*b74 1000 100 a17 b74 
a18*b84 1000 100 a18 b84 
C14 400 100 a11*b14 a12*b24 a13*b34 a14*b44 a15*b54 a16*b64 a17*b74 a18*b84
a11*b15 1000 100 a11 b15 
a12*b25 1000 100 a12 b25 
a13*b35 1000 100 a13 b35 
a14*b45 1000 100 a14 b45 
a15*b55 1000 100 a15 b55 
a16*b65 1000 100 a16 b65 
a17*b75 1000 100 a17 b75 
a18*b85 1000 100 a18 b85 
C15 400 100 a11*b15 a12*b25 a13*b35 a14*b45 a15*b55 a16*b65 a17*b75 a18*b85
a11*b16 1000 100 a11 b16 
a12*b26 1000 100 a12 b26 
a13*b36 1000 100 a13 b36 
a14*b46 1000 100 a14 b46 
a15*b56 1000 100 a15 b56 
a16*b66 1000 100 a16 b66 
a17*b76 1000 100 a17 b76 
a18*b86 1000 100 a18 b86 
C16 400 100 a11*b16 a12*b26 a13*b36 a14*b46 a15*b56 a16*b66 a17*b76 a18*b86
a11*b17 1000 100 a11 b17 
a12*b27 1000 100 a12 b27 
a13*b37 1000 100 a13 b37 
a14*b47 1000 100 a14 b47 
a15*b57 1000 100 a15 b57 
a16*b67 1000 100 a16 b67 
a17*b77 1000 100 a17 b77 
a18*b87 1000 100 a18 b87 
C17 400 100 a11*b17 a12*b27 a13*b37 a14*b47 a15*b57 a16*b67 a17*b77 a18*b87
a11*b18 1000 100 a11 b18 
a12*b28 1000 100 a12 b28 
a13*b38 1000 100 a13 b38 
a14*b48 1000 100 a14 b48 
a15*b58 1000 100 a15 b58 
a16*b68 1000 100 a16 b68 
a17*b78 1000 100 a17 b78 
a18*b88 1000 100 a18 b88 
C18 400 100 a11*b18 a12*b28 a13*b38 a14*b48 a15*b58 a16*b68 a17*b78 a18*b88
a21*b11 1000 100 a21 b11 
a22*b21 1000 100 a22 b21 
a23*b31 1000 100 a23 b31 
a24*b41 1000 100 a24 b41 
a25*b51 1000 100 a25 b51 
a26*b61 1000 100 a26 b61 
a27*b71 1000 100 a27 b71 
a28*b81 1000 100 a28 b81 
C21 400 100 a21*b11 a22*b21 a23*b31 a24*b41 a25*b51 a26*b61 a27*b71 a28*b81
a21*b12 1000 100 a21 b12 
a22*b22 1000 100 a22 b22 
a23*b32 1000 100 a23 b32 
a24*b42 1000 100 a24 b42 
a25*b52 1000 100 a25 b52 
a26*b62 1000 100 a26 b62 
a27*b72 1000 100 a27 b72 
a28*b82 1000 100 a28 b82 
C22 400 100 a21*b12 a22*b22 a23*b32 a24*b42 a25*b52 a26*b62 a27*b72 a28*b82
a21*b13 1000 100 a21 b13 
a22*b23 1000 100 a22 b23 
a23*b33 1000 100 a23 b33 
a24*b43 1000 100 a24 b43 
a25*b53 1000 100 a25 b53 
a26*b63 1000 100 a26 b63 
a27*b73 1000 100 a27 b73 
a28*b83 1000 100 a28 b83 
C23 400 100 a21*b13 a22*b23 a23*b33 a24*b43 a25*b53 a26*b63 a27*b73 a28*b83
a21*b14 1000 100 a21 b14 
a22*b24 1000 100 a22 b24 
a23*b34 1000 100 a23 b34 
a24*b44 1000 100 a24 b44 
a25*b54 1000 100 a25 b54 
a26*b64 1000 100 a26 b64 
a27*b74 1000 100 a27 b74 
a28*b84 1000 100 a28 b84 
C24 400 100 a21*b14 a22*b24 a23*b34 a24*b44 a25*b54 a26*b64 a27*b74 a28*b84
a21*b15 1000 100 a21 b15 
a22*b25 1000 100 a22 b25 
a23*b35 1000 100 a23 b35 
a24*b45 1000 100 a24 b45 
a25*b55 1000 100 a25 b55 
a26*b65 1000 100 a26 b65 
a27*b75 1000 100 a27 b75 
a28*b85 1000 100 a28 b85 
C25 400 100 a21*b15 a22*b25 a23*b35 a24*b45 a25*b55 a26*b65 a27*b75 a28*b85
a21*b16 1000 100 a21 b16 
a22*b26 1000 100 a22 b26 
a23*b36 1000 100 a23 b36 
a24*b46 1000 100 a24 b46 
a25*b56 1000 100 a25 b56 
a26*b66 1000 100 a26 b66 
a27*b76 1000 100 a27 b76 
a28*b86 1000 100 a28 b86 
C26 400 100 a21*b16 a22*b26 a23*b36 a24*b46 a25*b56 a26*b66 a27*b76 a28*b86
a21*b17 1000 100 a21 b17 
a22*b27 1000 100 a22 b27 
a23*b37 1000 100 a23 b37 
a24*b47 1000 100 a24 b47 
a25*b57 1000 100 a25 b57 
a26*b67 1000 100 a26 b67 
a27*b77 1000 100 a27 b77 
a28*b87 1000 100 a28 b87 
C27 400 100 a21*b17 a22*b27 a23*b37 a24*b47 a25*b57 a26*b67 a27*b77 a28*b87
a21*b18 1000 100 a21 b18 
a22*b28 1000 100 a22 b28 
a23*b38 1000 100 a23 b38 
a24*b48 1000 100 a24 b48 
a25*b58 1000 100 a25 b58 
a26*b68 1000 100 a26 b68 
a27*b78 1000 100 a27 b78 
a28*b88 1000 100 a28 b88 
C28 400 100 a21*b18 a22*b28 a23*b38 a24*b48 a25*b58 a26*b68 a27*b78 a28*b88
a31*b11 1000 100 a31 b11 
a32*b21 1000 100 a32 b21 
a33*b31 1000 100 a33 b31 
a34*b41 1000 100 a34 b41 
a35*b51 1000 100 a35 b51 
a36*b61 1000 100 a36 b61 
a37*b71 1000 100 a37 b71 
a38*b81 1000 100 a38 b81 
C31 400 100 a31*b11 a32*b21 a33*b31 a34*b41 a35*b51 a36*b61 a37*b71 a38*b81
a31*b12 1000 100 a31 b12 
a32*b22 1000 100 a32 b22 
a33*b32 1000 100 a33 b32 
a34*b42 1000 100 a34 b42 
a35*b52 1000 100 a35 b52 
a36*b62 1000 100 a36 b62 
a37*b72 1000 100 a37 b72 
a38*b82 1000 100 a38 b82 
C32 400 100 a31*b12 a32*b22 a33*b32 a34*b42 a35*b52 a36*b62 a37*b72 a38*b82
a31*b13 1000 100 a31 b13 
a32*b23 1000 100 a32 b23 
a33*b33 1000 100 a33 b33 
a34*b43 1000 100 a34 b43 
a35*b53 1000 100 a35 b53 
a36*b63 1000 100 a36 b63 
a37*b73 1000 100 a37 b73 
a38*b83 1000 100 a38 b83 
C33 400 100 a31*b13 a32*b23 a33*b33 a34*b43 a35*b53 a36*b63 a37*b73 a38*b83
a31*b14 1000 100 a31 b14 
a32*b24 1000 100 a32 b24 
a33*b34 1000 100 a33 b34 
a34*b44 1000 100 a34 b44 
a35*b54 1000 100 a35 b54 
a36*b64 1000 100 a36 b64 
a37*b74 1000 100 a37 b74 
a38*b84 1000 100 a38 b84 
C34 400 100 a31*b14 a32*b24 a33*b34 a34*b44 a35*b54 a36*b64 a37*b74 a38*b84
a31*b15 1000 100 a31 b15 
a32*b25 1000 100 a32 b25 
a33*b35 1000 100 a33 b35 
a34*b45 1000 100 a34 b45 
a35*b55 1000 100 a35 b55 
a36*b65 1000 100 a36 b65 
a37*b75 1000 100 a37 b75 
a38*b85 1000 100 a38 b85 
C35 400 100 a31*b15 a32*b25 a33*b35 a34*b45 a35*b55 a36*b65 a37*b75 a38*b85
a31*b16 1000 100 a31 b16 
a32*b26 1000 100 a32 b26 
a33*b36 1000 100 a33 b36 
a34*b46 1000 100 a34 b46 
a35*b56 1000 100 a35 b56 
a36*b66 1000 100 a36 b66 
a37*b76 1000 100 a37 b76 
a38*b86 1000 100 a38 b86 
C36 400 100 a31*b16 a32*b26 a33*b36 a34*b46 a35*b56 a36*b66 a37*b76 a38*b86
