split-a 12800 6400 
a11 0 25 split-a 
a12 0 25 split-a 
a13 0 25 split-a 
a14 0 25 split-a 
a15 0 25 split-a 
a16 0 25 split-a 
a17 0 25 split-a 
a18 0 25 split-a 
a19 0 25 split-a 
a110 0 25 split-a 
a111 0 25 split-a 
a112 0 25 split-a 
a113 0 25 split-a 
a114 0 25 split-a 
a115 0 25 split-a 
a116 0 25 split-a 
a21 0 25 split-a 
a22 0 25 split-a 
a23 0 25 split-a 
a24 0 25 split-a 
a25 0 25 split-a 
a26 0 25 split-a 
a27 0 25 split-a 
a28 0 25 split-a 
a29 0 25 split-a 
a210 0 25 split-a 
a211 0 25 split-a 
a212 0 25 split-a 
a213 0 25 split-a 
a214 0 25 split-a 
a215 0 25 split-a 
a216 0 25 split-a 
a31 0 25 split-a 
a32 0 25 split-a 
a33 0 25 split-a 
a34 0 25 split-a 
a35 0 25 split-a 
a36 0 25 split-a 
a37 0 25 split-a 
a38 0 25 split-a 
a39 0 25 split-a 
a310 0 25 split-a 
a311 0 25 split-a 
a312 0 25 split-a 
a313 0 25 split-a 
a314 0 25 split-a 
a315 0 25 split-a 
a316 0 25 split-a 
a41 0 25 split-a 
a42 0 25 split-a 
a43 0 25 split-a 
a44 0 25 split-a 
a45 0 25 split-a 
a46 0 25 split-a 
a47 0 25 split-a 
a48 0 25 split-a 
a49 0 25 split-a 
a410 0 25 split-a 
a411 0 25 split-a 
a412 0 25 split-a 
a413 0 25 split-a 
a414 0 25 split-a 
a415 0 25 split-a 
a416 0 25 split-a 
a51 0 25 split-a 
a52 0 25 split-a 
a53 0 25 split-a 
a54 0 25 split-a 
a55 0 25 split-a 
a56 0 25 split-a 
a57 0 25 split-a 
a58 0 25 split-a 
a59 0 25 split-a 
a510 0 25 split-a 
a511 0 25 split-a 
a512 0 25 split-a 
a513 0 25 split-a 
a514 0 25 split-a 
a515 0 25 split-a 
a516 0 25 split-a 
a61 0 25 split-a 
a62 0 25 split-a 
a63 0 25 split-a 
a64 0 25 split-a 
a65 0 25 split-a 
a66 0 25 split-a 
a67 0 25 split-a 
a68 0 25 split-a 
a69 0 25 split-a 
a610 0 25 split-a 
a611 0 25 split-a 
a612 0 25 split-a 
a613 0 25 split-a 
a614 0 25 split-a 
a615 0 25 split-a 
a616 0 25 split-a 
a71 0 25 split-a 
a72 0 25 split-a 
a73 0 25 split-a 
a74 0 25 split-a 
a75 0 25 split-a 
a76 0 25 split-a 
a77 0 25 split-a 
a78 0 25 split-a 
a79 0 25 split-a 
a710 0 25 split-a 
a711 0 25 split-a 
a712 0 25 split-a 
a713 0 25 split-a 
a714 0 25 split-a 
a715 0 25 split-a 
a716 0 25 split-a 
a81 0 25 split-a 
a82 0 25 split-a 
a83 0 25 split-a 
a84 0 25 split-a 
a85 0 25 split-a 
a86 0 25 split-a 
a87 0 25 split-a 
a88 0 25 split-a 
a89 0 25 split-a 
a810 0 25 split-a 
a811 0 25 split-a 
a812 0 25 split-a 
