split-a 512 256 
a11 0 16 split-a 
a12 0 16 split-a 
a13 0 16 split-a 
a14 0 16 split-a 
a21 0 16 split-a 
a22 0 16 split-a 
a23 0 16 split-a 
a24 0 16 split-a 
a31 0 16 split-a 
a32 0 16 split-a 
a33 0 16 split-a 
a34 0 16 split-a 
a41 0 16 split-a 
a42 0 16 split-a 
a43 0 16 split-a 
a44 0 16 split-a 
split-b 512 256 
b11 0 16 split-b 
b12 0 16 split-b 
b13 0 16 split-b 
b14 0 16 split-b 
b21 0 16 split-b 
b22 0 16 split-b 
b23 0 16 split-b 
b24 0 16 split-b 
b31 0 16 split-b 
b32 0 16 split-b 
b33 0 16 split-b 
b34 0 16 split-b 
b41 0 16 split-b 
b42 0 16 split-b 
b43 0 16 split-b 
b44 0 16 split-b 
a11*b11 64 16 a11 b11 
a12*b21 64 16 a12 b21 
a13*b31 64 16 a13 b31 
a14*b41 64 16 a14 b41 
C11 64 16 a11*b11 a12*b21 a13*b31 a14*b41 
a11*b12 64 16 a11 b12 
a12*b22 64 16 a12 b22 
a13*b32 64 16 a13 b32 
a14*b42 64 16 a14 b42 
C12 64 16 a11*b12 a12*b22 a13*b32 a14*b42 
a11*b13 64 16 a11 b13 
a12*b23 64 16 a12 b23 
a13*b33 64 16 a13 b33 
a14*b43 64 16 a14 b43 
C13 64 16 a11*b13 a12*b23 a13*b33 a14*b43 
a11*b14 64 16 a11 b14 
a12*b24 64 16 a12 b24 
a13*b34 64 16 a13 b34 
a14*b44 64 16 a14 b44 
C14 64 16 a11*b14 a12*b24 a13*b34 a14*b44 
a21*b11 64 16 a21 b11 
a22*b21 64 16 a22 b21 
a23*b31 64 16 a23 b31 
a24*b41 64 16 a24 b41 
C21 64 16 a21*b11 a22*b21 a23*b31 a24*b41 
a21*b12 64 16 a21 b12 
a22*b22 64 16 a22 b22 
a23*b32 64 16 a23 b32 
a24*b42 64 16 a24 b42 
C22 64 16 a21*b12 a22*b22 a23*b32 a24*b42 
a21*b13 64 16 a21 b13 
a22*b23 64 16 a22 b23 
a23*b33 64 16 a23 b33 
a24*b43 64 16 a24 b43 
C23 64 16 a21*b13 a22*b23 a23*b33 a24*b43 
a21*b14 64 16 a21 b14 
a22*b24 64 16 a22 b24 
a23*b34 64 16 a23 b34 
a24*b44 64 16 a24 b44 
C24 64 16 a21*b14 a22*b24 a23*b34 a24*b44 
a31*b11 64 16 a31 b11 
a32*b21 64 16 a32 b21 
a33*b31 64 16 a33 b31 
a34*b41 64 16 a34 b41 
C31 64 16 a31*b11 a32*b21 a33*b31 a34*b41 
a31*b12 64 16 a31 b12 
a32*b22 64 16 a32 b22 
a33*b32 64 16 a33 b32 
a34*b42 64 16 a34 b42 
C32 64 16 a31*b12 a32*b22 a33*b32 a34*b42 
a31*b13 64 16 a31 b13 
a32*b23 64 16 a32 b23 
a33*b33 64 16 a33 b33 
a34*b43 64 16 a34 b43 
C33 64 16 a31*b13 a32*b23 a33*b33 a34*b43 
a31*b14 64 16 a31 b14 
a32*b24 64 16 a32 b24 
a33*b34 64 16 a33 b34 
a34*b44 64 16 a34 b44 
C34 64 16 a31*b14 a32*b24 a33*b34 a34*b44 
a41*b11 64 16 a41 b11 
a42*b21 64 16 a42 b21 
a43*b31 64 16 a43 b31 
a44*b41 64 16 a44 b41 
C41 64 16 a41*b11 a42*b21 a43*b31 a44*b41 
a41*b12 64 16 a41 b12 
a42*b22 64 16 a42 b22 
a43*b32 64 16 a43 b32 
a44*b42 64 16 a44 b42 
C42 64 16 a41*b12 a42*b22 a43*b32 a44*b42 
a41*b13 64 16 a41 b13 
a42*b23 64 16 a42 b23 
a43*b33 64 16 a43 b33 
a44*b43 64 16 a44 b43 
C43 64 16 a41*b13 a42*b23 a43*b33 a44*b43 
a41*b14 64 16 a41 b14 
a42*b24 64 16 a42 b24 
a43*b34 64 16 a43 b34 
a44*b44 64 16 a44 b44 
C44 64 16 a41*b14 a42*b24 a43*b34 a44*b44 
Fusion 512 256 C11 C12 C13 C14 C21 C22 C23 C24 C31 C32 C33 C34 C41 C42 C43 C44 
