split-a 500000 250000 
a11 0 2500 split-a 
a12 0 2500 split-a 
a13 0 2500 split-a 
a14 0 2500 split-a 
a15 0 2500 split-a 
a16 0 2500 split-a 
a17 0 2500 split-a 
a18 0 2500 split-a 
a19 0 2500 split-a 
a110 0 2500 split-a 
a21 0 2500 split-a 
a22 0 2500 split-a 
a23 0 2500 split-a 
a24 0 2500 split-a 
a25 0 2500 split-a 
a26 0 2500 split-a 
a27 0 2500 split-a 
a28 0 2500 split-a 
a29 0 2500 split-a 
a210 0 2500 split-a 
a31 0 2500 split-a 
a32 0 2500 split-a 
a33 0 2500 split-a 
a34 0 2500 split-a 
a35 0 2500 split-a 
a36 0 2500 split-a 
a37 0 2500 split-a 
a38 0 2500 split-a 
a39 0 2500 split-a 
a310 0 2500 split-a 
a41 0 2500 split-a 
a42 0 2500 split-a 
a43 0 2500 split-a 
a44 0 2500 split-a 
a45 0 2500 split-a 
a46 0 2500 split-a 
a47 0 2500 split-a 
a48 0 2500 split-a 
a49 0 2500 split-a 
a410 0 2500 split-a 
a51 0 2500 split-a 
a52 0 2500 split-a 
a53 0 2500 split-a 
a54 0 2500 split-a 
a55 0 2500 split-a 
a56 0 2500 split-a 
a57 0 2500 split-a 
a58 0 2500 split-a 
a59 0 2500 split-a 
a510 0 2500 split-a 
a61 0 2500 split-a 
a62 0 2500 split-a 
a63 0 2500 split-a 
a64 0 2500 split-a 
a65 0 2500 split-a 
a66 0 2500 split-a 
a67 0 2500 split-a 
a68 0 2500 split-a 
a69 0 2500 split-a 
a610 0 2500 split-a 
a71 0 2500 split-a 
a72 0 2500 split-a 
a73 0 2500 split-a 
a74 0 2500 split-a 
a75 0 2500 split-a 
a76 0 2500 split-a 
a77 0 2500 split-a 
a78 0 2500 split-a 
a79 0 2500 split-a 
a710 0 2500 split-a 
a81 0 2500 split-a 
a82 0 2500 split-a 
a83 0 2500 split-a 
a84 0 2500 split-a 
a85 0 2500 split-a 
a86 0 2500 split-a 
a87 0 2500 split-a 
a88 0 2500 split-a 
a89 0 2500 split-a 
a810 0 2500 split-a 
a91 0 2500 split-a 
a92 0 2500 split-a 
a93 0 2500 split-a 
a94 0 2500 split-a 
a95 0 2500 split-a 
a96 0 2500 split-a 
a97 0 2500 split-a 
a98 0 2500 split-a 
a99 0 2500 split-a 
a910 0 2500 split-a 
a101 0 2500 split-a 
a102 0 2500 split-a 
a103 0 2500 split-a 
a104 0 2500 split-a 
a105 0 2500 split-a 
a106 0 2500 split-a 
a107 0 2500 split-a 
a108 0 2500 split-a 
a109 0 2500 split-a 
a1010 0 2500 split-a 
split-b 500000 250000 
b11 0 2500 split-b 
b12 0 2500 split-b 
b13 0 2500 split-b 
b14 0 2500 split-b 
b15 0 2500 split-b 
b16 0 2500 split-b 
b17 0 2500 split-b 
b18 0 2500 split-b 
b19 0 2500 split-b 
b110 0 2500 split-b 
b21 0 2500 split-b 
b22 0 2500 split-b 
b23 0 2500 split-b 
b24 0 2500 split-b 
b25 0 2500 split-b 
b26 0 2500 split-b 
b27 0 2500 split-b 
b28 0 2500 split-b 
b29 0 2500 split-b 
b210 0 2500 split-b 
b31 0 2500 split-b 
b32 0 2500 split-b 
b33 0 2500 split-b 
b34 0 2500 split-b 
b35 0 2500 split-b 
b36 0 2500 split-b 
b37 0 2500 split-b 
b38 0 2500 split-b 
b39 0 2500 split-b 
b310 0 2500 split-b 
b41 0 2500 split-b 
b42 0 2500 split-b 
b43 0 2500 split-b 
b44 0 2500 split-b 
b45 0 2500 split-b 
b46 0 2500 split-b 
b47 0 2500 split-b 
b48 0 2500 split-b 
b49 0 2500 split-b 
b410 0 2500 split-b 
b51 0 2500 split-b 
b52 0 2500 split-b 
b53 0 2500 split-b 
b54 0 2500 split-b 
b55 0 2500 split-b 
b56 0 2500 split-b 
b57 0 2500 split-b 
b58 0 2500 split-b 
b59 0 2500 split-b 
b510 0 2500 split-b 
b61 0 2500 split-b 
b62 0 2500 split-b 
b63 0 2500 split-b 
b64 0 2500 split-b 
b65 0 2500 split-b 
b66 0 2500 split-b 
b67 0 2500 split-b 
b68 0 2500 split-b 
b69 0 2500 split-b 
b610 0 2500 split-b 
b71 0 2500 split-b 
b72 0 2500 split-b 
b73 0 2500 split-b 
b74 0 2500 split-b 
b75 0 2500 split-b 
b76 0 2500 split-b 
b77 0 2500 split-b 
b78 0 2500 split-b 
b79 0 2500 split-b 
b710 0 2500 split-b 
b81 0 2500 split-b 
b82 0 2500 split-b 
b83 0 2500 split-b 
b84 0 2500 split-b 
b85 0 2500 split-b 
b86 0 2500 split-b 
b87 0 2500 split-b 
b88 0 2500 split-b 
b89 0 2500 split-b 
b810 0 2500 split-b 
b91 0 2500 split-b 
b92 0 2500 split-b 
b93 0 2500 split-b 
b94 0 2500 split-b 
b95 0 2500 split-b 
b96 0 2500 split-b 
b97 0 2500 split-b 
b98 0 2500 split-b 
b99 0 2500 split-b 
b910 0 2500 split-b 
b101 0 2500 split-b 
b102 0 2500 split-b 
b103 0 2500 split-b 
b104 0 2500 split-b 
b105 0 2500 split-b 
b106 0 2500 split-b 
b107 0 2500 split-b 
b108 0 2500 split-b 
b109 0 2500 split-b 
b1010 0 2500 split-b 
a11*b11 125000 2500 a11 b11 
a12*b21 125000 2500 a12 b21 
a13*b31 125000 2500 a13 b31 
a14*b41 125000 2500 a14 b41 
a15*b51 125000 2500 a15 b51 
a16*b61 125000 2500 a16 b61 
a17*b71 125000 2500 a17 b71 
a18*b81 125000 2500 a18 b81 
a19*b91 125000 2500 a19 b91 
a110*b101 125000 2500 a110 b101 
C11 10000 2500 a11*b11 a12*b21 a13*b31 a14*b41 a15*b51 a16*b61 a17*b71 a18*b81 a19*b91 a110*b101
a11*b12 125000 2500 a11 b12 
a12*b22 125000 2500 a12 b22 
a13*b32 125000 2500 a13 b32 
a14*b42 125000 2500 a14 b42 
a15*b52 125000 2500 a15 b52 
a16*b62 125000 2500 a16 b62 
a17*b72 125000 2500 a17 b72 
a18*b82 125000 2500 a18 b82 
a19*b92 125000 2500 a19 b92 
a110*b102 125000 2500 a110 b102 
C12 10000 2500 a11*b12 a12*b22 a13*b32 a14*b42 a15*b52 a16*b62 a17*b72 a18*b82 a19*b92 a110*b102
a11*b13 125000 2500 a11 b13 
a12*b23 125000 2500 a12 b23 
a13*b33 125000 2500 a13 b33 
a14*b43 125000 2500 a14 b43 
a15*b53 125000 2500 a15 b53 
a16*b63 125000 2500 a16 b63 
a17*b73 125000 2500 a17 b73 
a18*b83 125000 2500 a18 b83 
a19*b93 125000 2500 a19 b93 
a110*b103 125000 2500 a110 b103 
C13 10000 2500 a11*b13 a12*b23 a13*b33 a14*b43 a15*b53 a16*b63 a17*b73 a18*b83 a19*b93 a110*b103
a11*b14 125000 2500 a11 b14 
a12*b24 125000 2500 a12 b24 
a13*b34 125000 2500 a13 b34 
a14*b44 125000 2500 a14 b44 
a15*b54 125000 2500 a15 b54 
a16*b64 125000 2500 a16 b64 
a17*b74 125000 2500 a17 b74 
a18*b84 125000 2500 a18 b84 
a19*b94 125000 2500 a19 b94 
a110*b104 125000 2500 a110 b104 
C14 10000 2500 a11*b14 a12*b24 a13*b34 a14*b44 a15*b54 a16*b64 a17*b74 a18*b84 a19*b94 a110*b104
a11*b15 125000 2500 a11 b15 
a12*b25 125000 2500 a12 b25 
a13*b35 125000 2500 a13 b35 
a14*b45 125000 2500 a14 b45 
a15*b55 125000 2500 a15 b55 
a16*b65 125000 2500 a16 b65 
a17*b75 125000 2500 a17 b75 
a18*b85 125000 2500 a18 b85 
a19*b95 125000 2500 a19 b95 
a110*b105 125000 2500 a110 b105 
C15 10000 2500 a11*b15 a12*b25 a13*b35 a14*b45 a15*b55 a16*b65 a17*b75 a18*b85 a19*b95 a110*b105
a11*b16 125000 2500 a11 b16 
a12*b26 125000 2500 a12 b26 
a13*b36 125000 2500 a13 b36 
a14*b46 125000 2500 a14 b46 
a15*b56 125000 2500 a15 b56 
a16*b66 125000 2500 a16 b66 
a17*b76 125000 2500 a17 b76 
a18*b86 125000 2500 a18 b86 
a19*b96 125000 2500 a19 b96 
a110*b106 125000 2500 a110 b106 
