split-a 6272 3136 
a11 0 4 split-a 
a12 0 4 split-a 
a13 0 4 split-a 
a14 0 4 split-a 
a15 0 4 split-a 
a16 0 4 split-a 
a17 0 4 split-a 
a18 0 4 split-a 
a19 0 4 split-a 
a110 0 4 split-a 
a111 0 4 split-a 
a112 0 4 split-a 
a113 0 4 split-a 
a114 0 4 split-a 
a115 0 4 split-a 
a116 0 4 split-a 
a117 0 4 split-a 
a118 0 4 split-a 
a119 0 4 split-a 
a120 0 4 split-a 
a121 0 4 split-a 
a122 0 4 split-a 
a123 0 4 split-a 
a124 0 4 split-a 
a125 0 4 split-a 
a126 0 4 split-a 
a127 0 4 split-a 
a128 0 4 split-a 
a21 0 4 split-a 
a22 0 4 split-a 
a23 0 4 split-a 
a24 0 4 split-a 
a25 0 4 split-a 
a26 0 4 split-a 
a27 0 4 split-a 
a28 0 4 split-a 
a29 0 4 split-a 
a210 0 4 split-a 
a211 0 4 split-a 
a212 0 4 split-a 
a213 0 4 split-a 
a214 0 4 split-a 
a215 0 4 split-a 
a216 0 4 split-a 
a217 0 4 split-a 
a218 0 4 split-a 
a219 0 4 split-a 
a220 0 4 split-a 
a221 0 4 split-a 
a222 0 4 split-a 
a223 0 4 split-a 
a224 0 4 split-a 
a225 0 4 split-a 
a226 0 4 split-a 
a227 0 4 split-a 
a228 0 4 split-a 
a31 0 4 split-a 
a32 0 4 split-a 
a33 0 4 split-a 
a34 0 4 split-a 
a35 0 4 split-a 
a36 0 4 split-a 
a37 0 4 split-a 
a38 0 4 split-a 
a39 0 4 split-a 
a310 0 4 split-a 
a311 0 4 split-a 
a312 0 4 split-a 
a313 0 4 split-a 
a314 0 4 split-a 
a315 0 4 split-a 
a316 0 4 split-a 
a317 0 4 split-a 
a318 0 4 split-a 
a319 0 4 split-a 
a320 0 4 split-a 
a321 0 4 split-a 
a322 0 4 split-a 
a323 0 4 split-a 
a324 0 4 split-a 
a325 0 4 split-a 
a326 0 4 split-a 
a327 0 4 split-a 
a328 0 4 split-a 
a41 0 4 split-a 
a42 0 4 split-a 
a43 0 4 split-a 
a44 0 4 split-a 
a45 0 4 split-a 
a46 0 4 split-a 
a47 0 4 split-a 
a48 0 4 split-a 
a49 0 4 split-a 
a410 0 4 split-a 
a411 0 4 split-a 
a412 0 4 split-a 
a413 0 4 split-a 
a414 0 4 split-a 
a415 0 4 split-a 
a416 0 4 split-a 
a417 0 4 split-a 
a418 0 4 split-a 
a419 0 4 split-a 
a420 0 4 split-a 
a421 0 4 split-a 
a422 0 4 split-a 
a423 0 4 split-a 
a424 0 4 split-a 
a425 0 4 split-a 
a426 0 4 split-a 
a427 0 4 split-a 
a428 0 4 split-a 
a51 0 4 split-a 
a52 0 4 split-a 
a53 0 4 split-a 
a54 0 4 split-a 
a55 0 4 split-a 
a56 0 4 split-a 
a57 0 4 split-a 
a58 0 4 split-a 
a59 0 4 split-a 
a510 0 4 split-a 
a511 0 4 split-a 
a512 0 4 split-a 
a513 0 4 split-a 
a514 0 4 split-a 
a515 0 4 split-a 
a516 0 4 split-a 
a517 0 4 split-a 
a518 0 4 split-a 
a519 0 4 split-a 
a520 0 4 split-a 
a521 0 4 split-a 
a522 0 4 split-a 
a523 0 4 split-a 
a524 0 4 split-a 
a525 0 4 split-a 
a526 0 4 split-a 
a527 0 4 split-a 
a528 0 4 split-a 
a61 0 4 split-a 
a62 0 4 split-a 
a63 0 4 split-a 
a64 0 4 split-a 
a65 0 4 split-a 
a66 0 4 split-a 
a67 0 4 split-a 
a68 0 4 split-a 
a69 0 4 split-a 
a610 0 4 split-a 
a611 0 4 split-a 
a612 0 4 split-a 
a613 0 4 split-a 
a614 0 4 split-a 
a615 0 4 split-a 
a616 0 4 split-a 
a617 0 4 split-a 
a618 0 4 split-a 
a619 0 4 split-a 
a620 0 4 split-a 
a621 0 4 split-a 
a622 0 4 split-a 
a623 0 4 split-a 
a624 0 4 split-a 
a625 0 4 split-a 
a626 0 4 split-a 
a627 0 4 split-a 
a628 0 4 split-a 
a71 0 4 split-a 
a72 0 4 split-a 
a73 0 4 split-a 
a74 0 4 split-a 
a75 0 4 split-a 
a76 0 4 split-a 
a77 0 4 split-a 
a78 0 4 split-a 
a79 0 4 split-a 
a710 0 4 split-a 
a711 0 4 split-a 
a712 0 4 split-a 
a713 0 4 split-a 
a714 0 4 split-a 
a715 0 4 split-a 
a716 0 4 split-a 
a717 0 4 split-a 
a718 0 4 split-a 
a719 0 4 split-a 
a720 0 4 split-a 
a721 0 4 split-a 
a722 0 4 split-a 
a723 0 4 split-a 
a724 0 4 split-a 
a725 0 4 split-a 
a726 0 4 split-a 
a727 0 4 split-a 
a728 0 4 split-a 
a81 0 4 split-a 
a82 0 4 split-a 
a83 0 4 split-a 
a84 0 4 split-a 
a85 0 4 split-a 
a86 0 4 split-a 
a87 0 4 split-a 
a88 0 4 split-a 
a89 0 4 split-a 
a810 0 4 split-a 
a811 0 4 split-a 
a812 0 4 split-a 
a813 0 4 split-a 
a814 0 4 split-a 
a815 0 4 split-a 
a816 0 4 split-a 
a817 0 4 split-a 
a818 0 4 split-a 
a819 0 4 split-a 
a820 0 4 split-a 
a821 0 4 split-a 
a822 0 4 split-a 
a823 0 4 split-a 
a824 0 4 split-a 
a825 0 4 split-a 
a826 0 4 split-a 
a827 0 4 split-a 
a828 0 4 split-a 
a91 0 4 split-a 
a92 0 4 split-a 
a93 0 4 split-a 
a94 0 4 split-a 
a95 0 4 split-a 
a96 0 4 split-a 
a97 0 4 split-a 
a98 0 4 split-a 
a99 0 4 split-a 
a910 0 4 split-a 
a911 0 4 split-a 
a912 0 4 split-a 
a913 0 4 split-a 
a914 0 4 split-a 
a915 0 4 split-a 
a916 0 4 split-a 
a917 0 4 split-a 
a918 0 4 split-a 
a919 0 4 split-a 
a920 0 4 split-a 
a921 0 4 split-a 
a922 0 4 split-a 
a923 0 4 split-a 
a924 0 4 split-a 
a925 0 4 split-a 
a926 0 4 split-a 
