split-a 3200 1600 
a11 0 25 split-a 
a12 0 25 split-a 
a13 0 25 split-a 
a14 0 25 split-a 
a15 0 25 split-a 
a16 0 25 split-a 
a17 0 25 split-a 
a18 0 25 split-a 
a21 0 25 split-a 
a22 0 25 split-a 
a23 0 25 split-a 
a24 0 25 split-a 
a25 0 25 split-a 
a26 0 25 split-a 
a27 0 25 split-a 
a28 0 25 split-a 
a31 0 25 split-a 
a32 0 25 split-a 
a33 0 25 split-a 
a34 0 25 split-a 
a35 0 25 split-a 
a36 0 25 split-a 
a37 0 25 split-a 
a38 0 25 split-a 
a41 0 25 split-a 
a42 0 25 split-a 
a43 0 25 split-a 
a44 0 25 split-a 
a45 0 25 split-a 
a46 0 25 split-a 
a47 0 25 split-a 
a48 0 25 split-a 
a51 0 25 split-a 
a52 0 25 split-a 
a53 0 25 split-a 
a54 0 25 split-a 
a55 0 25 split-a 
a56 0 25 split-a 
a57 0 25 split-a 
a58 0 25 split-a 
a61 0 25 split-a 
a62 0 25 split-a 
a63 0 25 split-a 
a64 0 25 split-a 
a65 0 25 split-a 
a66 0 25 split-a 
a67 0 25 split-a 
a68 0 25 split-a 
a71 0 25 split-a 
a72 0 25 split-a 
a73 0 25 split-a 
a74 0 25 split-a 
a75 0 25 split-a 
a76 0 25 split-a 
a77 0 25 split-a 
a78 0 25 split-a 
a81 0 25 split-a 
a82 0 25 split-a 
a83 0 25 split-a 
a84 0 25 split-a 
a85 0 25 split-a 
a86 0 25 split-a 
a87 0 25 split-a 
a88 0 25 split-a 
split-b 3200 1600 
b11 0 25 split-b 
b12 0 25 split-b 
b13 0 25 split-b 
b14 0 25 split-b 
b15 0 25 split-b 
b16 0 25 split-b 
b17 0 25 split-b 
b18 0 25 split-b 
b21 0 25 split-b 
b22 0 25 split-b 
b23 0 25 split-b 
b24 0 25 split-b 
b25 0 25 split-b 
b26 0 25 split-b 
b27 0 25 split-b 
b28 0 25 split-b 
b31 0 25 split-b 
b32 0 25 split-b 
b33 0 25 split-b 
b34 0 25 split-b 
b35 0 25 split-b 
b36 0 25 split-b 
b37 0 25 split-b 
b38 0 25 split-b 
b41 0 25 split-b 
b42 0 25 split-b 
b43 0 25 split-b 
b44 0 25 split-b 
b45 0 25 split-b 
b46 0 25 split-b 
b47 0 25 split-b 
b48 0 25 split-b 
b51 0 25 split-b 
b52 0 25 split-b 
b53 0 25 split-b 
b54 0 25 split-b 
b55 0 25 split-b 
b56 0 25 split-b 
b57 0 25 split-b 
b58 0 25 split-b 
b61 0 25 split-b 
b62 0 25 split-b 
b63 0 25 split-b 
b64 0 25 split-b 
b65 0 25 split-b 
b66 0 25 split-b 
b67 0 25 split-b 
b68 0 25 split-b 
b71 0 25 split-b 
b72 0 25 split-b 
b73 0 25 split-b 
b74 0 25 split-b 
b75 0 25 split-b 
b76 0 25 split-b 
b77 0 25 split-b 
b78 0 25 split-b 
b81 0 25 split-b 
b82 0 25 split-b 
b83 0 25 split-b 
