split-a 6272 3136 
a11 0 16 split-a 
a12 0 16 split-a 
a13 0 16 split-a 
a14 0 16 split-a 
a15 0 16 split-a 
a16 0 16 split-a 
a17 0 16 split-a 
a18 0 16 split-a 
a19 0 16 split-a 
a110 0 16 split-a 
a111 0 16 split-a 
a112 0 16 split-a 
a113 0 16 split-a 
a114 0 16 split-a 
a21 0 16 split-a 
a22 0 16 split-a 
a23 0 16 split-a 
a24 0 16 split-a 
a25 0 16 split-a 
a26 0 16 split-a 
a27 0 16 split-a 
a28 0 16 split-a 
a29 0 16 split-a 
a210 0 16 split-a 
a211 0 16 split-a 
a212 0 16 split-a 
a213 0 16 split-a 
a214 0 16 split-a 
a31 0 16 split-a 
a32 0 16 split-a 
a33 0 16 split-a 
a34 0 16 split-a 
a35 0 16 split-a 
a36 0 16 split-a 
a37 0 16 split-a 
a38 0 16 split-a 
a39 0 16 split-a 
a310 0 16 split-a 
a311 0 16 split-a 
a312 0 16 split-a 
a313 0 16 split-a 
a314 0 16 split-a 
a41 0 16 split-a 
a42 0 16 split-a 
a43 0 16 split-a 
a44 0 16 split-a 
a45 0 16 split-a 
a46 0 16 split-a 
a47 0 16 split-a 
a48 0 16 split-a 
a49 0 16 split-a 
a410 0 16 split-a 
a411 0 16 split-a 
a412 0 16 split-a 
a413 0 16 split-a 
a414 0 16 split-a 
a51 0 16 split-a 
a52 0 16 split-a 
a53 0 16 split-a 
a54 0 16 split-a 
a55 0 16 split-a 
a56 0 16 split-a 
a57 0 16 split-a 
a58 0 16 split-a 
a59 0 16 split-a 
a510 0 16 split-a 
a511 0 16 split-a 
a512 0 16 split-a 
a513 0 16 split-a 
a514 0 16 split-a 
a61 0 16 split-a 
a62 0 16 split-a 
a63 0 16 split-a 
a64 0 16 split-a 
a65 0 16 split-a 
a66 0 16 split-a 
a67 0 16 split-a 
a68 0 16 split-a 
a69 0 16 split-a 
a610 0 16 split-a 
a611 0 16 split-a 
a612 0 16 split-a 
a613 0 16 split-a 
a614 0 16 split-a 
a71 0 16 split-a 
a72 0 16 split-a 
a73 0 16 split-a 
a74 0 16 split-a 
a75 0 16 split-a 
a76 0 16 split-a 
a77 0 16 split-a 
a78 0 16 split-a 
a79 0 16 split-a 
a710 0 16 split-a 
a711 0 16 split-a 
a712 0 16 split-a 
a713 0 16 split-a 
a714 0 16 split-a 
a81 0 16 split-a 
a82 0 16 split-a 
a83 0 16 split-a 
a84 0 16 split-a 
a85 0 16 split-a 
a86 0 16 split-a 
a87 0 16 split-a 
a88 0 16 split-a 
a89 0 16 split-a 
a810 0 16 split-a 
a811 0 16 split-a 
a812 0 16 split-a 
a813 0 16 split-a 
a814 0 16 split-a 
a91 0 16 split-a 
a92 0 16 split-a 
a93 0 16 split-a 
a94 0 16 split-a 
a95 0 16 split-a 
a96 0 16 split-a 
a97 0 16 split-a 
a98 0 16 split-a 
a99 0 16 split-a 
a910 0 16 split-a 
a911 0 16 split-a 
a912 0 16 split-a 
a913 0 16 split-a 
a914 0 16 split-a 
a101 0 16 split-a 
a102 0 16 split-a 
a103 0 16 split-a 
a104 0 16 split-a 
a105 0 16 split-a 
a106 0 16 split-a 
a107 0 16 split-a 
a108 0 16 split-a 
a109 0 16 split-a 
a1010 0 16 split-a 
a1011 0 16 split-a 
a1012 0 16 split-a 
a1013 0 16 split-a 
a1014 0 16 split-a 
a111 0 16 split-a 
a112 0 16 split-a 
a113 0 16 split-a 
a114 0 16 split-a 
a115 0 16 split-a 
a116 0 16 split-a 
a117 0 16 split-a 
a118 0 16 split-a 
a119 0 16 split-a 
a1110 0 16 split-a 
a1111 0 16 split-a 
a1112 0 16 split-a 
a1113 0 16 split-a 
a1114 0 16 split-a 
a121 0 16 split-a 
a122 0 16 split-a 
a123 0 16 split-a 
a124 0 16 split-a 
a125 0 16 split-a 
a126 0 16 split-a 
a127 0 16 split-a 
a128 0 16 split-a 
a129 0 16 split-a 
a1210 0 16 split-a 
a1211 0 16 split-a 
a1212 0 16 split-a 
a1213 0 16 split-a 
a1214 0 16 split-a 
a131 0 16 split-a 
a132 0 16 split-a 
a133 0 16 split-a 
a134 0 16 split-a 
a135 0 16 split-a 
a136 0 16 split-a 
a137 0 16 split-a 
a138 0 16 split-a 
a139 0 16 split-a 
a1310 0 16 split-a 
a1311 0 16 split-a 
a1312 0 16 split-a 
a1313 0 16 split-a 
a1314 0 16 split-a 
a141 0 16 split-a 
a142 0 16 split-a 
a143 0 16 split-a 
a144 0 16 split-a 
a145 0 16 split-a 
a146 0 16 split-a 
a147 0 16 split-a 
a148 0 16 split-a 
a149 0 16 split-a 
a1410 0 16 split-a 
a1411 0 16 split-a 
a1412 0 16 split-a 
a1413 0 16 split-a 
a1414 0 16 split-a 
split-b 6272 3136 
b11 0 16 split-b 
b12 0 16 split-b 
b13 0 16 split-b 
b14 0 16 split-b 
b15 0 16 split-b 
b16 0 16 split-b 
b17 0 16 split-b 
b18 0 16 split-b 
b19 0 16 split-b 
b110 0 16 split-b 
b111 0 16 split-b 
b112 0 16 split-b 
b113 0 16 split-b 
b114 0 16 split-b 
b21 0 16 split-b 
b22 0 16 split-b 
b23 0 16 split-b 
b24 0 16 split-b 
b25 0 16 split-b 
b26 0 16 split-b 
b27 0 16 split-b 
b28 0 16 split-b 
b29 0 16 split-b 
b210 0 16 split-b 
b211 0 16 split-b 
b212 0 16 split-b 
b213 0 16 split-b 
b214 0 16 split-b 
b31 0 16 split-b 
b32 0 16 split-b 
b33 0 16 split-b 
b34 0 16 split-b 
b35 0 16 split-b 
b36 0 16 split-b 
b37 0 16 split-b 
b38 0 16 split-b 
b39 0 16 split-b 
b310 0 16 split-b 
b311 0 16 split-b 
b312 0 16 split-b 
b313 0 16 split-b 
b314 0 16 split-b 
b41 0 16 split-b 
b42 0 16 split-b 
b43 0 16 split-b 
b44 0 16 split-b 
b45 0 16 split-b 
b46 0 16 split-b 
b47 0 16 split-b 
b48 0 16 split-b 
b49 0 16 split-b 
b410 0 16 split-b 
