split-a 80000 40000 
a11 0 10000 split-a 
a12 0 10000 split-a 
a21 0 10000 split-a 
a22 0 10000 split-a 
split-b 80000 40000 
b11 0 10000 split-b 
b12 0 10000 split-b 
b21 0 10000 split-b 
b22 0 10000 split-b 
a11*b11 1000000 10000 a11 b11 
a12*b21 1000000 10000 a12 b21 
C11 40000 10000 a11*b11 a12*b21
a11*b12 1000000 10000 a11 b12 
a12*b22 1000000 10000 a12 b22 
C12 40000 10000 a11*b12 a12*b22
a21*b11 1000000 10000 a21 b11 
a22*b21 1000000 10000 a22 b21 
C21 40000 10000 a21*b11 a22*b21
a21*b12 1000000 10000 a21 b12 
a22*b22 1000000 10000 a22 b22 
C22 40000 10000 a21*b12 a22*b22
Fusion 80000 40000 C11 C12 C21 C22 
