split-a 1152 576 
a11 0 4 split-a 
a12 0 4 split-a 
a13 0 4 split-a 
a14 0 4 split-a 
a15 0 4 split-a 
a16 0 4 split-a 
a17 0 4 split-a 
a18 0 4 split-a 
a19 0 4 split-a 
a110 0 4 split-a 
a111 0 4 split-a 
a112 0 4 split-a 
a21 0 4 split-a 
a22 0 4 split-a 
a23 0 4 split-a 
a24 0 4 split-a 
a25 0 4 split-a 
a26 0 4 split-a 
a27 0 4 split-a 
a28 0 4 split-a 
a29 0 4 split-a 
a210 0 4 split-a 
a211 0 4 split-a 
a212 0 4 split-a 
a31 0 4 split-a 
a32 0 4 split-a 
a33 0 4 split-a 
a34 0 4 split-a 
a35 0 4 split-a 
a36 0 4 split-a 
a37 0 4 split-a 
a38 0 4 split-a 
a39 0 4 split-a 
a310 0 4 split-a 
a311 0 4 split-a 
a312 0 4 split-a 
a41 0 4 split-a 
a42 0 4 split-a 
a43 0 4 split-a 
a44 0 4 split-a 
a45 0 4 split-a 
a46 0 4 split-a 
a47 0 4 split-a 
a48 0 4 split-a 
a49 0 4 split-a 
a410 0 4 split-a 
a411 0 4 split-a 
a412 0 4 split-a 
a51 0 4 split-a 
a52 0 4 split-a 
a53 0 4 split-a 
a54 0 4 split-a 
a55 0 4 split-a 
a56 0 4 split-a 
a57 0 4 split-a 
a58 0 4 split-a 
a59 0 4 split-a 
a510 0 4 split-a 
a511 0 4 split-a 
a512 0 4 split-a 
a61 0 4 split-a 
a62 0 4 split-a 
a63 0 4 split-a 
a64 0 4 split-a 
a65 0 4 split-a 
a66 0 4 split-a 
a67 0 4 split-a 
a68 0 4 split-a 
a69 0 4 split-a 
a610 0 4 split-a 
a611 0 4 split-a 
a612 0 4 split-a 
a71 0 4 split-a 
a72 0 4 split-a 
a73 0 4 split-a 
a74 0 4 split-a 
a75 0 4 split-a 
a76 0 4 split-a 
a77 0 4 split-a 
a78 0 4 split-a 
a79 0 4 split-a 
a710 0 4 split-a 
a711 0 4 split-a 
a712 0 4 split-a 
a81 0 4 split-a 
a82 0 4 split-a 
a83 0 4 split-a 
a84 0 4 split-a 
a85 0 4 split-a 
a86 0 4 split-a 
a87 0 4 split-a 
a88 0 4 split-a 
a89 0 4 split-a 
a810 0 4 split-a 
a811 0 4 split-a 
a812 0 4 split-a 
a91 0 4 split-a 
a92 0 4 split-a 
a93 0 4 split-a 
a94 0 4 split-a 
a95 0 4 split-a 
a96 0 4 split-a 
a97 0 4 split-a 
a98 0 4 split-a 
a99 0 4 split-a 
a910 0 4 split-a 
a911 0 4 split-a 
a912 0 4 split-a 
a101 0 4 split-a 
a102 0 4 split-a 
a103 0 4 split-a 
a104 0 4 split-a 
a105 0 4 split-a 
a106 0 4 split-a 
a107 0 4 split-a 
a108 0 4 split-a 
a109 0 4 split-a 
a1010 0 4 split-a 
a1011 0 4 split-a 
a1012 0 4 split-a 
a111 0 4 split-a 
a112 0 4 split-a 
a113 0 4 split-a 
a114 0 4 split-a 
a115 0 4 split-a 
a116 0 4 split-a 
a117 0 4 split-a 
a118 0 4 split-a 
a119 0 4 split-a 
a1110 0 4 split-a 
a1111 0 4 split-a 
a1112 0 4 split-a 
a121 0 4 split-a 
a122 0 4 split-a 
a123 0 4 split-a 
a124 0 4 split-a 
a125 0 4 split-a 
a126 0 4 split-a 
a127 0 4 split-a 
a128 0 4 split-a 
a129 0 4 split-a 
a1210 0 4 split-a 
a1211 0 4 split-a 
a1212 0 4 split-a 
split-b 1152 576 
b11 0 4 split-b 
b12 0 4 split-b 
b13 0 4 split-b 
b14 0 4 split-b 
b15 0 4 split-b 
b16 0 4 split-b 
b17 0 4 split-b 
b18 0 4 split-b 
b19 0 4 split-b 
b110 0 4 split-b 
b111 0 4 split-b 
b112 0 4 split-b 
b21 0 4 split-b 
b22 0 4 split-b 
b23 0 4 split-b 
b24 0 4 split-b 
b25 0 4 split-b 
b26 0 4 split-b 
b27 0 4 split-b 
b28 0 4 split-b 
b29 0 4 split-b 
b210 0 4 split-b 
b211 0 4 split-b 
b212 0 4 split-b 
b31 0 4 split-b 
b32 0 4 split-b 
b33 0 4 split-b 
b34 0 4 split-b 
b35 0 4 split-b 
b36 0 4 split-b 
b37 0 4 split-b 
b38 0 4 split-b 
b39 0 4 split-b 
b310 0 4 split-b 
b311 0 4 split-b 
b312 0 4 split-b 
b41 0 4 split-b 
b42 0 4 split-b 
b43 0 4 split-b 
b44 0 4 split-b 
b45 0 4 split-b 
b46 0 4 split-b 
b47 0 4 split-b 
b48 0 4 split-b 
b49 0 4 split-b 
b410 0 4 split-b 
b411 0 4 split-b 
b412 0 4 split-b 
b51 0 4 split-b 
b52 0 4 split-b 
b53 0 4 split-b 
b54 0 4 split-b 
b55 0 4 split-b 
b56 0 4 split-b 
b57 0 4 split-b 
b58 0 4 split-b 
b59 0 4 split-b 
b510 0 4 split-b 
b511 0 4 split-b 
b512 0 4 split-b 
b61 0 4 split-b 
b62 0 4 split-b 
b63 0 4 split-b 
b64 0 4 split-b 
b65 0 4 split-b 
b66 0 4 split-b 
b67 0 4 split-b 
b68 0 4 split-b 
b69 0 4 split-b 
b610 0 4 split-b 
b611 0 4 split-b 
b612 0 4 split-b 
b71 0 4 split-b 
b72 0 4 split-b 
b73 0 4 split-b 
b74 0 4 split-b 
b75 0 4 split-b 
b76 0 4 split-b 
b77 0 4 split-b 
b78 0 4 split-b 
b79 0 4 split-b 
b710 0 4 split-b 
b711 0 4 split-b 
b712 0 4 split-b 
b81 0 4 split-b 
b82 0 4 split-b 
b83 0 4 split-b 
b84 0 4 split-b 
b85 0 4 split-b 
b86 0 4 split-b 
b87 0 4 split-b 
b88 0 4 split-b 
b89 0 4 split-b 
b810 0 4 split-b 
b811 0 4 split-b 
b812 0 4 split-b 
b91 0 4 split-b 
b92 0 4 split-b 
b93 0 4 split-b 
b94 0 4 split-b 
b95 0 4 split-b 
b96 0 4 split-b 
b97 0 4 split-b 
b98 0 4 split-b 
