split-a 20000 10000 
a11 0 2500 split-a 
a12 0 2500 split-a 
a21 0 2500 split-a 
a22 0 2500 split-a 
split-b 20000 10000 
b11 0 2500 split-b 
b12 0 2500 split-b 
b21 0 2500 split-b 
b22 0 2500 split-b 
a11*b11 125000 2500 a11 b11 
a12*b21 125000 2500 a12 b21 
C11 10000 2500 a11*b11 a12*b21
a11*b12 125000 2500 a11 b12 
a12*b22 125000 2500 a12 b22 
C12 10000 2500 a11*b12 a12*b22
a21*b11 125000 2500 a21 b11 
a22*b21 125000 2500 a22 b21 
C21 10000 2500 a21*b11 a22*b21
a21*b12 125000 2500 a21 b12 
a22*b22 125000 2500 a22 b22 
C22 10000 2500 a21*b12 a22*b22
Fusion 20000 10000 C11 C12 C21 C22 
