split-a 2048 1024 
a11 0 64 split-a 
a12 0 64 split-a 
a13 0 64 split-a 
a14 0 64 split-a 
a21 0 64 split-a 
a22 0 64 split-a 
a23 0 64 split-a 
a24 0 64 split-a 
a31 0 64 split-a 
a32 0 64 split-a 
a33 0 64 split-a 
a34 0 64 split-a 
a41 0 64 split-a 
a42 0 64 split-a 
a43 0 64 split-a 
a44 0 64 split-a 
split-b 2048 1024 
b11 0 64 split-b 
b12 0 64 split-b 
b13 0 64 split-b 
b14 0 64 split-b 
b21 0 64 split-b 
b22 0 64 split-b 
b23 0 64 split-b 
b24 0 64 split-b 
b31 0 64 split-b 
b32 0 64 split-b 
b33 0 64 split-b 
b34 0 64 split-b 
b41 0 64 split-b 
b42 0 64 split-b 
b43 0 64 split-b 
b44 0 64 split-b 
a11*b11 512 64 a11 b11 
a12*b21 512 64 a12 b21 
a13*b31 512 64 a13 b31 
a14*b41 512 64 a14 b41 
C11 256 64 a11*b11 a12*b21 a13*b31 a14*b41 
a11*b12 512 64 a11 b12 
a12*b22 512 64 a12 b22 
a13*b32 512 64 a13 b32 
a14*b42 512 64 a14 b42 
C12 256 64 a11*b12 a12*b22 a13*b32 a14*b42 
a11*b13 512 64 a11 b13 
a12*b23 512 64 a12 b23 
a13*b33 512 64 a13 b33 
a14*b43 512 64 a14 b43 
C13 256 64 a11*b13 a12*b23 a13*b33 a14*b43 
a11*b14 512 64 a11 b14 
a12*b24 512 64 a12 b24 
a13*b34 512 64 a13 b34 
a14*b44 512 64 a14 b44 
C14 256 64 a11*b14 a12*b24 a13*b34 a14*b44 
a21*b11 512 64 a21 b11 
a22*b21 512 64 a22 b21 
a23*b31 512 64 a23 b31 
a24*b41 512 64 a24 b41 
C21 256 64 a21*b11 a22*b21 a23*b31 a24*b41 
a21*b12 512 64 a21 b12 
a22*b22 512 64 a22 b22 
a23*b32 512 64 a23 b32 
a24*b42 512 64 a24 b42 
C22 256 64 a21*b12 a22*b22 a23*b32 a24*b42 
a21*b13 512 64 a21 b13 
a22*b23 512 64 a22 b23 
a23*b33 512 64 a23 b33 
a24*b43 512 64 a24 b43 
C23 256 64 a21*b13 a22*b23 a23*b33 a24*b43 
a21*b14 512 64 a21 b14 
a22*b24 512 64 a22 b24 
a23*b34 512 64 a23 b34 
a24*b44 512 64 a24 b44 
C24 256 64 a21*b14 a22*b24 a23*b34 a24*b44 
a31*b11 512 64 a31 b11 
a32*b21 512 64 a32 b21 
a33*b31 512 64 a33 b31 
a34*b41 512 64 a34 b41 
C31 256 64 a31*b11 a32*b21 a33*b31 a34*b41 
a31*b12 512 64 a31 b12 
a32*b22 512 64 a32 b22 
a33*b32 512 64 a33 b32 
a34*b42 512 64 a34 b42 
C32 256 64 a31*b12 a32*b22 a33*b32 a34*b42 
a31*b13 512 64 a31 b13 
a32*b23 512 64 a32 b23 
a33*b33 512 64 a33 b33 
a34*b43 512 64 a34 b43 
C33 256 64 a31*b13 a32*b23 a33*b33 a34*b43 
a31*b14 512 64 a31 b14 
a32*b24 512 64 a32 b24 
a33*b34 512 64 a33 b34 
a34*b44 512 64 a34 b44 
C34 256 64 a31*b14 a32*b24 a33*b34 a34*b44 
a41*b11 512 64 a41 b11 
a42*b21 512 64 a42 b21 
a43*b31 512 64 a43 b31 
a44*b41 512 64 a44 b41 
C41 256 64 a41*b11 a42*b21 a43*b31 a44*b41 
a41*b12 512 64 a41 b12 
a42*b22 512 64 a42 b22 
a43*b32 512 64 a43 b32 
a44*b42 512 64 a44 b42 
C42 256 64 a41*b12 a42*b22 a43*b32 a44*b42 
a41*b13 512 64 a41 b13 
a42*b23 512 64 a42 b23 
a43*b33 512 64 a43 b33 
a44*b43 512 64 a44 b43 
C43 256 64 a41*b13 a42*b23 a43*b33 a44*b43 
a41*b14 512 64 a41 b14 
a42*b24 512 64 a42 b24 
a43*b34 512 64 a43 b34 
a44*b44 512 64 a44 b44 
C44 256 64 a41*b14 a42*b24 a43*b34 a44*b44 
Fusion 2048 1024 C11 C12 C13 C14 C21 C22 C23 C24 C31 C32 C33 C34 C41 C42 C43 C44 
