split-a 320000 160000 
a1 0 40000 split-a 
a2 0 40000 split-a 
a3 0 40000 split-a 
a4 0 40000 split-a 
split-b 320000 160000 
b1 0 40000 split-b 
b2 0 40000 split-b 
b3 0 40000 split-b 
b4 0 40000 split-b 
lc1 8000000 40000 a1 b1 
rc1 8000000 40000 a2 b3 
c1 160000 40000 lc1 rc1 
lc2 8000000 40000 a1 b2 
rc2 8000000 40000 a2 b4 
c2 160000 40000 lc2 rc2 
lc3 8000000 40000 a3 b1 
rc3 8000000 40000 a4 b3 
c3 160000 40000 lc3 rc3 
lc4 8000000 40000 a3 b2 
rc4 8000000 40000 a4 b4 
c4 160000 40000 lc4 rc4 
c 320000 160000 c1 c2 c3 c4 
