split-a 1280000 640000 
a1 0 160000 split-a 
a2 0 160000 split-a 
a3 0 160000 split-a 
a4 0 160000 split-a 
split-b 1280000 640000 
b1 0 160000 split-b 
b2 0 160000 split-b 
b3 0 160000 split-b 
b4 0 160000 split-b 
lc1 64000000 160000 a1 b1 
rc1 64000000 160000 a2 b3 
c1 640000 160000 lc1 rc1 
lc2 64000000 160000 a1 b2 
rc2 64000000 160000 a2 b4 
c2 640000 160000 lc2 rc2 
lc3 64000000 160000 a3 b1 
rc3 64000000 160000 a4 b3 
c3 640000 160000 lc3 rc3 
lc4 64000000 160000 a3 b2 
rc4 64000000 160000 a4 b4 
c4 640000 160000 lc4 rc4 
c 1280000 640000 c1 c2 c3 c4 
